Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Farnell PN~String~Farnell PN~100|Field=Digikey~String~Digikey~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~T962a_Panel.PrjPCB|ReportField=ProjectFullPath~C:\Users\podonoghue\Documents\Development\T962a_Oven_Controller\PCB\T962a_Panel\T962a_Panel.PrjPCB|ReportField=Title~Bill of Materials For Project [T962a_Panel.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~14|ReportField=ReportTime~9:43:31 AM|ReportField=ReportDate~12/10/2016|ReportField=ReportDateTime~12/10/2016 9:43:31 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~|ReportField=CurrentTime~|ReportField=Date~|ReportField=DocumentFullPathAndName~|ReportField=DocumentName~|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~|ReportField=Organization~|ReportField=ProjectName~|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~T962a_Panel.PrjPCB|ReportField=DataSourceFullPath~C:\Users\podonoghue\Documents\Development\T962a_Oven_Controller\PCB\T962a_Panel\T962a_Panel.PrjPCB
100nF|Capacitor|C1, C3|CCNP1608-0603|Cap|2||
10nF|Capacitor|C2, C4|CCNP1608-0603|Cap|2||
2u2F|Capacitor|C5|CCNP2012-0805|Cap|1||
2x5 Header|Header 2x7|H1|HDR2X7H|Header 2x7H|1||
USB Type B|USB B Connector|J1|USB_BCon - straight pins|USB_TYPE_B|1||
FB|Ferrite Bead (0805) 0.045OHM, 2A|L1, L2|CR2012-0805|Ferrite Bead 0805|2|1515661|
85R|Resistor|R1|CR2012-0805|Res|1||
Thermocouple_PCB||T3, T4|ThermoCoupleSocket - PCB mount|Thermocouple_PCB|2|2347189|
MAX31855KASA+T||U1, U2|SO-8_L|MAX31855KASA+T|2|2515622|
